Day,Population,Infected Rate,Recovery Rate
1,9132716,0.37,0.92
2,1446627,0.51,0.12
3,331409,0.24,0.14
4,1895154,0.64,0.82
5,865815,0.47,0.7
6,1141021,0.9,0.42
7,2571975,0.46,0.72
8,6569669,0.33,0.63
9,6650719,0.45,0.98
10,3166725,0.65,0.83
11,3238686,0.23,0.94
12,18056,0.44,0.49
13,580297,0.56,0.82
14,6494805,0.1,0.48
15,5475978,0.09,0.84
16,1573863,0.05,0.84
17,3118142,0.67,0.1
18,5250893,0.97,0.95
19,6886226,0.84,0.77
20,5875622,0.96,0.61
21,9809393,0.7,0.44
22,7708065,0.62,0.78
23,6768610,0.44,0.88
24,1088834,0.26,0.06
25,5797029,0.52,0.3
26,314502,0.29,0.29
27,90939,0.93,0.75
28,3792597,0.35,0.4
29,4851593,0.99,0.22
30,2524687,0.58,0.66
31,8936750,0.99,0.16
32,2222766,0.79,0.31
33,1283188,0.54,0.17
34,6416724,0.81,0.59
35,2531797,0.38,0.33
36,6427357,0.75,0.47
37,8932872,0.97,0.8
38,4718780,0.02,0.26
39,5551866,0.41,0.2
40,5358713,0.46,0.74
41,4097006,0.29,0.98
42,4376460,0.75,0.95
43,1563081,0.91,0.15
44,3014676,0.79,1.0
45,2053069,0.6,0.53
46,9605465,0.17,0.36
47,8942905,0.81,0.76
48,9551313,0.45,0.23
49,2114804,0.7,0.06
50,6041828,0.58,0.73
51,7334226,0.67,0.42
52,1769224,0.57,0.48
53,1260128,0.62,0.06
54,7728567,0.15,0.43
55,3074726,0.45,0.12
56,6453241,0.53,0.2
57,6463038,0.43,0.67
58,1524311,0.93,0.06
59,8060273,0.52,0.09
60,6314267,0.76,0.72
61,4613768,0.97,0.73
62,7070678,0.52,0.14
63,4949973,0.88,0.76
64,6589386,0.41,0.31
65,9958657,0.65,0.59
66,6153202,0.22,0.0
67,2154936,0.35,0.58
68,4316263,0.3,0.91
69,173474,0.92,0.69
70,1124874,0.94,0.48
71,6150708,0.53,0.75
72,365963,0.16,0.93
73,3390795,0.41,0.43
74,177879,0.03,0.38
75,1747959,0.09,0.75
76,8307424,0.49,0.18
77,1913927,0.31,0.51
78,9677926,0.15,0.14
79,3145404,0.26,0.61
80,7557238,0.89,0.37
81,6829291,0.03,0.9
82,4588664,0.64,0.91
83,484122,0.48,0.12
84,5761004,0.62,0.07
85,3145786,0.97,0.6
86,8838065,0.22,0.17
87,8078176,0.77,0.64
88,692943,0.25,0.87
89,5275213,0.19,0.41
90,4460835,0.73,0.51
91,6362804,0.09,0.33
92,2458283,0.45,0.48
93,6295231,1.0,0.55
94,3825359,0.81,0.51
95,1117846,0.23,0.21
96,901764,0.23,0.43
97,1442434,0.83,0.76
98,56744,0.6,0.47
99,8828758,0.96,0.28
100,7666530,0.17,0.75
